Serial, mut_t1, mut_t2, mut_t4, mut_t8, rw_t1, rw_t2, rw_t4, rw_t8
10045, 9073, 15611, 18816, 17776, 9405, 6367, 7888, 6948
8469, 7972, 15943, 16997, 17482, 8644, 5444, 8118, 8258
8324, 8378, 13768, 16052, 15955, 8217, 5403, 6003, 25774
13128, 8414, 14474, 17313, 16376, 8332, 6145, 5846, 6220
8167, 8896, 13102, 17624, 16332, 9032, 5292, 6202, 7638
8867, 7922, 14212, 17392, 16420, 8580, 5840, 6648, 6399
7604, 8303, 14640, 17674, 16294, 8220, 5952, 5390, 8605
7976, 8326, 14033, 16876, 16568, 9085, 6317, 5684, 7997
8109, 8490, 14177, 16095, 16216, 8051, 7684, 5565, 7321
8046, 8197, 13128, 17094, 17254, 8122, 7425, 5524, 7788
7705, 8546, 13874, 14923, 15756, 8727, 5666, 10203, 7200
7955, 8541, 19404, 16436, 16833, 7945, 7405, 5947, 9188
7701, 8683, 14109, 16043, 16997, 8700, 6241, 6886, 6735
7789, 8161, 14282, 15980, 16611, 8052, 6185, 5607, 7295
8036, 8499, 14734, 16981, 17212, 8039, 5920, 5611, 6211
9637, 9764, 13223, 16754, 16331, 8379, 5764, 7425, 6069
8849, 7677, 20578, 16083, 16804, 8658, 6237, 5353, 6934
7876, 8393, 13793, 16763, 16646, 8459, 5616, 6214, 6711
9513, 9192, 13295, 16642, 17745, 8299, 6121, 6492, 6278
8823, 8338, 13776, 17662, 17014, 9000, 5638, 6014, 7186
9456, 9081, 15113, 16857, 16892, 9078, 6940, 5966, 5985
9056, 8295, 14925, 15717, 17592, 8625, 5304, 6605, 5529
9443, 8010, 14496, 16518, 16396, 10064, 5851, 6861, 6028
9499, 7814, 21335, 28069, 23284, 8662, 7229, 5058, 7080
7634, 7666, 13307, 15815, 16390, 10616, 5984, 7014, 5801
8144, 7958, 21521, 17400, 16844, 8671, 6311, 5421, 8053
7546, 7869, 12541, 17850, 16577, 8775, 5899, 7889, 6374
7926, 8523, 13172, 16874, 19689, 8489, 6969, 5242, 6081
8783, 8302, 14828, 17125, 16850, 8648, 6666, 5768, 8254
8015, 9063, 13680, 15980, 16824, 9512, 7453, 5619, 8114
7567, 8615, 13695, 17108, 17215, 8404, 5929, 6549, 7256
8767, 8520, 13265, 16891, 16743, 8418, 5437, 6564, 6745
8531, 7703, 14419, 16931, 16680, 9229, 5686, 5848, 6858
9002, 8084, 19000, 15976, 16859, 9966, 5263, 6873, 6674
