Serial, mut_t1, mut_t2, mut_t4, mut_t8, rw_t1, rw_t2, rw_t4, rw_t8
52171, 61891, 75864, 86975, 89777, 103011, 120934, 123733, 129947
51771, 54314, 71308, 84085, 87243, 98207, 106364, 116257, 124211
49744, 60580, 76791, 80257, 86138, 97829, 121054, 126647, 132152
51586, 56034, 74208, 80810, 88480, 105470, 109929, 120219, 130804
50835, 55160, 74497, 82349, 86698, 98395, 116199, 126348, 136128
51412, 59368, 72934, 83624, 86841, 95227, 120158, 120896, 133056
49861, 58736, 77558, 87462, 87601, 98561, 118166, 124476, 129195
50028, 60930, 79154, 88072, 90949, 101548, 113672, 124808, 131336
48865, 59821, 74910, 86466, 87167, 101092, 119392, 128369, 133854
51733, 61477, 83248, 85141, 90089, 102765, 114453, 127612, 134613
52764, 61985, 75897, 86917, 89888, 103758, 112923, 125202, 137141
51966, 60604, 80573, 87199, 88605, 102659, 116000, 121336, 137410
52276, 55052, 75699, 85609, 86289, 97047, 113604, 124200, 127953
50486, 62858, 78322, 86423, 89413, 101386, 119833, 123732, 131158
50380, 63706, 76772, 84555, 87278, 101670, 114691, 123242, 135239
52403, 62323, 82723, 87440, 87173, 98636, 117090, 123117, 135533
52707, 58687, 81329, 87036, 88663, 101989, 118128, 126742, 132953
51342, 59925, 82225, 86721, 87207, 100932, 116751, 125886, 131467
51319, 59688, 79454, 83998, 90261, 100648, 139866, 131147, 140560
52502, 65601, 81973, 87051, 89482, 102648, 117988, 129379, 132545
52207, 62257, 78201, 88656, 87807, 102708, 119822, 129458, 135305
51247, 60071, 78005, 86825, 90049, 104668, 115535, 127823, 138280
53974, 62467, 79296, 86488, 89085, 104839, 113727, 125704, 135351
51017, 60791, 82759, 87731, 89488, 103789, 122392, 128623, 130209
52062, 60502, 75953, 91338, 85913, 102386, 114232, 131968, 134953
52030, 61271, 81437, 86719, 88405, 101651, 114424, 128378, 134588
51487, 59258, 76952, 87472, 86927, 100521, 113473, 123184, 129507
51915, 60409, 87376, 89098, 90143, 101974, 116972, 124756, 132159
51640, 58253, 80812, 88457, 89148, 100431, 114154, 123692, 135011
52042, 62207, 81704, 84795, 88582, 100807, 119436, 128207, 140370
51143, 62615, 81662, 87859, 94489, 103173, 123006, 135372, 136553
