Serial, mut_t1, mut_t2, mut_t4, mut_t8, rw_t1, rw_t2, rw_t4, rw_t8
14954, 25398, 36988, 44129, 46947, 38683, 29976, 36780, 36513
15536, 25071, 37465, 44535, 48434, 37778, 29912, 32119, 34580
15244, 24118, 36363, 42022, 44620, 36736, 28117, 31827, 37152
14362, 25725, 37203, 41862, 46424, 36293, 26967, 34344, 36805
15255, 23778, 36849, 43026, 45665, 36263, 32062, 31625, 34637
14743, 24595, 36550, 45586, 47799, 37992, 29318, 33579, 37535
14037, 26451, 38497, 43412, 45992, 36452, 30978, 33720, 38892
13842, 24424, 37747, 45219, 45572, 38346, 28629, 33108, 36615
14516, 23841, 39330, 44896, 45542, 38615, 29510, 31148, 34707
15569, 24773, 38576, 43688, 45860, 36473, 29495, 32547, 35791
15556, 24252, 38817, 45160, 47184, 37575, 35492, 31426, 35061
14866, 22865, 37623, 43265, 46196, 38558, 36698, 31728, 35621
13211, 23286, 36093, 43567, 46516, 36998, 29510, 32746, 35726
15018, 25328, 36845, 43303, 46361, 35437, 27563, 31965, 34648
14136, 23726, 50673, 50240, 49606, 43531, 30830, 38698, 38549
15298, 25672, 40099, 44682, 46795, 36419, 29713, 34511, 37575
15475, 25006, 38066, 43840, 48685, 39143, 27783, 32532, 37286
14495, 23799, 38792, 44406, 46527, 38050, 28178, 32997, 35771
15510, 23848, 42923, 44516, 46210, 38070, 37472, 35731, 36373
15725, 24049, 37460, 42711, 46750, 38826, 28347, 31915, 36345
14841, 25023, 40542, 47951, 46948, 36082, 51971, 47791, 40651
16012, 26137, 43582, 47089, 48381, 38332, 30219, 34411, 37409
15012, 26052, 39151, 44710, 46554, 39305, 29251, 33979, 40137
15843, 25528, 39025, 44835, 47320, 37668, 30736, 33248, 35964
15993, 24804, 36686, 44491, 45093, 38084, 27284, 35837, 35262
14532, 23954, 40247, 43675, 47679, 36316, 28768, 33907, 37762
15324, 24933, 40161, 43688, 48627, 37530, 31362, 37022, 36238
15066, 25218, 37339, 42012, 45260, 35823, 28840, 31038, 36883
14491, 23891, 36776, 41077, 44475, 36220, 30130, 32432, 35374
15152, 22580, 38135, 42563, 45043, 36413, 28089, 31812, 36192
13721, 23784, 37309, 43628, 46684, 34905, 29937, 33467, 36573
14444, 25696, 38404, 43872, 45932, 38320, 27139, 31764, 35775
13955, 24300, 37883, 45669, 47333, 37457, 29895, 33171, 37351
15528, 25505, 37327, 44092, 47793, 38504, 29733, 32531, 35717
16585, 25970, 39757, 43244, 47013, 38095, 29732, 37347, 35991
15137, 26056, 41489, 45052, 48133, 38762, 28724, 35840, 38066
17308, 24063, 38962, 44262, 46622, 38943, 28983, 48248, 37832
16980, 25283, 44236, 46380, 48364, 38758, 29322, 33718, 40040
16944, 27907, 40466, 47443, 46266, 40361, 37931, 36597, 38175
17093, 26182, 39984, 43089, 47708, 37177, 30086, 35956, 37715
14545, 24541, 38020, 43984, 45511, 37135, 27994, 31997, 34734
14140, 26062, 38072, 45681, 47377, 38124, 36317, 32295, 36025
14467, 24552, 39898, 45741, 47505, 38918, 28961, 37359, 36387
15459, 27793, 48986, 45585, 47044, 39862, 30152, 33289, 36312
15033, 26644, 38125, 45863, 47056, 38957, 29610, 33415, 37470
14634, 25480, 38664, 44968, 46069, 38122, 29858, 36987, 36168
15351, 24971, 39549, 43451, 45793, 36621, 30065, 38173, 34162
15602, 25556, 39040, 42959, 48059, 36938, 28673, 38700, 36696
15335, 26654, 37034, 43545, 44152, 35574, 27878, 33370, 34792
14726, 26053, 39077, 42387, 47363, 38164, 29471, 32708, 38548
15123, 25264, 38899, 43712, 46761, 37430, 37399, 31664, 35308
16453, 25289, 41189, 46305, 47647, 36326, 29537, 33058, 36042
15668, 25296, 40684, 44594, 45467, 36949, 28879, 32755, 35753
14711, 25266, 41002, 43283, 52964, 49565, 29323, 34629, 37878
15851, 25626, 39473, 45580, 46613, 37917, 31069, 41025, 37998
17406, 24959, 38358, 45851, 48385, 39261, 29982, 32706, 35289
15986, 24692, 41941, 42384, 46953, 36780, 28116, 31637, 35428
14048, 22035, 38675, 42773, 44358, 35322, 28543, 31277, 35328
14351, 25222, 38908, 45225, 48539, 42844, 31293, 35647, 40377
16545, 25930, 39242, 45241, 46942, 38892, 30434, 33712, 37075
15190, 23619, 37849, 44635, 45625, 38031, 29845, 32905, 35459
15598, 24573, 43587, 43078, 44444, 37391, 30257, 32788, 36917
14999, 25251, 40557, 43873, 45434, 36501, 28391, 31552, 34175
14267, 23508, 37787, 46347, 44376, 37102, 33064, 32432, 35886
14906, 24830, 37307, 45853, 47209, 36813, 29497, 32607, 36635
16530, 24800, 38361, 42451, 47500, 38175, 29514, 36357, 35061
15246, 24366, 38585, 45214, 46063, 36096, 37061, 36698, 37348
14410, 25540, 42910, 44548, 46767, 37426, 28544, 31976, 34197
17191, 38111, 38483, 43245, 45139, 35366, 28008, 32771, 35024
14830, 24519, 37647, 42602, 45244, 36013, 27985, 38070, 33266
16032, 25350, 38855, 42567, 46658, 36536, 29952, 34518, 36411
15679, 25203, 39697, 42940, 44752, 37700, 30081, 33875, 37355
30679, 31211, 45369, 45289, 49022, 39700, 31454, 35447, 39274
15772, 25474, 40090, 45596, 48741, 37443, 29707, 32780, 38460
16005, 26425, 39007, 43676, 48293, 37542, 29140, 33047, 35974
15236, 26124, 41307, 44450, 45608, 36870, 36989, 36533, 38737
15071, 24777, 41600, 43886, 46103, 38303, 36237, 36710, 38001
15781, 25278, 39115, 44090, 45151, 36587, 28367, 32323, 36901
15322, 23450, 38663, 43709, 46178, 42380, 31157, 37976, 42573
17766, 25979, 43038, 45173, 46628, 37547, 29189, 33328, 37879
15578, 24850, 38345, 46242, 45308, 37858, 29640, 32502, 36735
17338, 24903, 38701, 42095, 46980, 37163, 30032, 32518, 35638
14750, 25441, 39368, 43637, 46686, 37975, 29575, 36820, 36109
15059, 25066, 36396, 42777, 46084, 37392, 29179, 33979, 37610
17692, 26091, 41953, 43910, 45919, 36774, 28441, 32315, 34342
15865, 25608, 41284, 44931, 46691, 37156, 28995, 32964, 36760
15685, 26014, 41699, 45811, 57360, 43887, 31694, 39869, 37329
15413, 25933, 38944, 46035, 49384, 39009, 29969, 32604, 37313
15304, 24585, 38657, 44129, 49366, 40142, 29686, 36855, 36632
14710, 25477, 39423, 44538, 46309, 39639, 38153, 36851, 37486
15617, 23974, 37797, 43252, 44891, 36615, 36769, 32785, 34390
15203, 25996, 38741, 42101, 46207, 35298, 29903, 34343, 35105
15347, 24352, 38120, 41886, 46456, 35974, 28526, 39291, 37465
13988, 24778, 37189, 43674, 46280, 36950, 28574, 33360, 35619
14437, 25016, 43634, 44044, 47266, 36665, 29235, 35270, 36037
14927, 25651, 38945, 42646, 45571, 37077, 27917, 32700, 35227
14964, 24107, 38308, 44913, 44529, 36757, 28884, 31808, 34860
15602, 25093, 39977, 44414, 44388, 38504, 35574, 36945, 36105
14602, 24791, 39559, 43574, 46760, 36921, 28556, 33364, 36791
14310, 25150, 40004, 42688, 44913, 37912, 29339, 36522, 35734
15832, 24798, 39993, 44787, 46153, 37766, 28642, 30766, 37047
15604, 24171, 37490, 45008, 48445, 37919, 28894, 32686, 36431
17672, 23718, 37783, 42181, 46408, 36231, 28588, 31041, 37425
14427, 24686, 37378, 41892, 44919, 36134, 27081, 31485, 34845
15438, 23382, 40108, 43672, 46165, 36946, 27904, 31541, 34988
14570, 25025, 46983, 47854, 50519, 39605, 31638, 35408, 40309
17478, 24968, 43871, 46319, 46931, 37711, 37617, 33778, 35726
33762, 28787, 39372, 47096, 47639, 37622, 30032, 32856, 36909
15408, 25227, 38230, 44895, 46788, 36608, 28925, 32637, 36274
15016, 24622, 43446, 45220, 46719, 37884, 29891, 31856, 35725
16849, 24665, 39803, 45235, 46413, 41263, 30196, 35259, 38305
16679, 24190, 40989, 45729, 46621, 38872, 30052, 34140, 37244
14683, 26338, 40553, 43136, 44960, 35578, 30279, 32477, 36830
14518, 25337, 41978, 43450, 45387, 38246, 29423, 35927, 37615
14848, 24056, 40154, 42945, 47043, 36099, 29640, 35472, 36243
14480, 23577, 40041, 44451, 47504, 36545, 37184, 32958, 37762
15393, 24117, 39277, 43811, 45745, 35592, 27974, 32216, 35042
14193, 24432, 36391, 42473, 46041, 35350, 29077, 31969, 34190
14689, 26368, 37019, 41316, 44436, 37529, 28388, 54432, 42812
16080, 24888, 40324, 43742, 46981, 37597, 29774, 30519, 36145
14812, 24330, 37352, 43701, 47152, 36696, 27858, 35498, 35162
14774, 22479, 39849, 44700, 46356, 36549, 28391, 31826, 35857
14590, 25891, 37963, 42232, 44453, 37228, 27197, 35542, 34022
17471, 24793, 38396, 42817, 44961, 37337, 27227, 30669, 34431
14266, 23892, 38195, 45588, 45793, 37259, 27391, 36118, 35705
16111, 23139, 35119, 41271, 44080, 36086, 27824, 31488, 36529
14916, 23519, 37612, 41414, 44723, 35544, 27231, 31290, 34547
14619, 23212, 36046, 44748, 46962, 35906, 30383, 32049, 34011
15894, 24956, 40060, 43377, 45956, 35366, 27341, 30632, 38175
14245, 25404, 37407, 43808, 45135, 35835, 27697, 32039, 34753
14792, 23480, 36042, 40588, 44568, 35903, 28072, 31171, 34289
14123, 24568, 37272, 41023, 45228, 34993, 27933, 31303, 36844
15074, 24875, 37818, 43264, 46215, 36626, 29025, 36185, 35149
16339, 23706, 38389, 42223, 46894, 35134, 29508, 35449, 37356
14542, 25204, 40190, 44625, 46257, 36727, 37535, 30893, 35034
15046, 23343, 41962, 44161, 44268, 37311, 29322, 32625, 36061
15048, 23041, 37478, 42135, 45845, 36390, 35989, 31663, 35302
15153, 23706, 38775, 41958, 46073, 36678, 28221, 34837, 37660
15544, 23841, 42108, 43098, 45542, 37234, 27576, 35048, 34152
15041, 24526, 38291, 43081, 47018, 35271, 29100, 31498, 34629
16827, 23298, 38186, 42791, 45076, 36416, 28755, 32815, 69666
15161, 27263, 40197, 45209, 48015, 39649, 29632, 35841, 35227
15334, 24936, 38400, 43979, 48456, 41006, 32275, 33920, 36425
16101, 25349, 40293, 46416, 47564, 37939, 29727, 36887, 38334
16284, 25674, 37743, 42906, 45249, 37747, 28912, 31437, 34556
16041, 23547, 36579, 42523, 45773, 35727, 28237, 30602, 34463
14523, 22316, 36287, 44452, 44927, 34638, 28825, 31450, 35902
16151, 24791, 40008, 43464, 46352, 35821, 27309, 31090, 34185
14273, 24393, 35758, 42784, 45718, 36014, 28159, 31743, 34459
14033, 25371, 35281, 43054, 43428, 35563, 34800, 30329, 33527
13653, 23885, 35410, 42482, 44106, 34798, 26912, 32097, 33242
13410, 24601, 35431, 42453, 43266, 34624, 47112, 36575, 38915
15853, 26862, 38554, 43783, 46796, 37592, 27844, 35433, 35040
13845, 24828, 39541, 44528, 47507, 37033, 28434, 31975, 34372
14963, 23497, 36920, 41800, 45557, 35774, 27634, 32999, 34934
15058, 23818, 39358, 42552, 46439, 35242, 35014, 30612, 33477
14991, 22725, 34685, 41886, 42593, 34656, 28085, 31126, 34769
15164, 23108, 37459, 43569, 43965, 35057, 27391, 30990, 35515
14057, 24380, 42965, 40604, 44332, 34941, 28420, 35852, 35398
14440, 25178, 35686, 42829, 45393, 35827, 28251, 33257, 33813
15530, 24374, 37469, 41323, 45572, 37230, 29142, 32852, 33967
13576, 24240, 37395, 44379, 44950, 36682, 35954, 34992, 35235
14456, 24685, 38731, 42184, 42669, 36746, 28128, 31895, 34127
14578, 23066, 37917, 44028, 44357, 34920, 28643, 33063, 34281
15149, 23856, 35614, 40913, 43752, 34803, 27596, 30806, 36006
16237, 23536, 39775, 43728, 43355, 37015, 35474, 30800, 34145
14157, 24938, 37022, 41686, 48469, 36074, 29114, 31981, 34956
15451, 24840, 36066, 40351, 45610, 34431, 27361, 31410, 34084
15133, 22926, 35280, 42516, 44614, 34742, 27392, 30785, 36868
14174, 23768, 35674, 41268, 44148, 34591, 27611, 30584, 34593
13843, 24909, 36638, 42239, 46280, 38312, 28471, 36381, 35640
14848, 23924, 35468, 41022, 43695, 34539, 28782, 32238, 33373
13547, 23499, 36522, 40533, 44053, 35112, 26985, 31452, 33136
13306, 24089, 36625, 42807, 44539, 37173, 37806, 49624, 36663
15792, 25315, 40457, 44430, 46453, 37912, 28766, 33199, 36806
14034, 23573, 38324, 43894, 47245, 35436, 28083, 30876, 36534
14437, 25463, 38183, 43377, 45226, 34818, 27708, 30725, 34597
14678, 24905, 37853, 44844, 46937, 35774, 34790, 31149, 33880
13754, 24413, 38173, 39623, 44517, 34355, 28121, 31760, 33844
